#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
305.585749,578,563.389557
342.769933,823,565.589411
323.301322,706,565.922077
387.849433,806,566.286472
229.801295,634,566.573317
350.191497,768,566.93992
261.776424,652,567.232321
325.83919,862,567.652206
327.846955,787,568.007069
289.765191,718,568.34043
314.247368,693,568.652827
287.21333,687,568.947038
289.42941,718,571.046948
315.876856,655,571.346855
372.650078,662,571.64699
361.133181,753,571.980551
285.806823,716,572.324754
331.497566,654,572.616202
402.492129,793,573.030284
344.109769,756,573.37576
296.004605,689,573.713902
291.633889,652,574.006929
321.534991,647,574.297011
336.241162,789,574.66654
349.445152,730,576.767028
346.049258,686,577.071431
283.104588,617,577.340225
329.603922,678,577.657593
298.2662,573,577.913593
321.333313,762,578.271161
315.93556,628,578.573019
358.630326,683,578.890685
370.284994,799,579.274103
282.260255,664,579.56356
367.434789,702,579.896833
313.646592,778,580.248797
319.334035,715,582.397825
330.436666,706,582.720893
254.507838,759,583.063431
375.496321,832,583.43996
300.937394,661,583.739101
284.47274,556,583.990326
357.032753,766,584.330103
238.801354,604,584.613465
372.593562,745,584.963474
314.635587,700,585.285038
284.168836,603,585.613436
344.099439,691,587.750163
292.036512,687,588.089521
338.330978,740,588.422785
317.214552,661,588.723498
308.340994,808,589.079952
398.252236,716,589.413254
303.21605,666,589.7301
310.957066,875,590.139982
390.237579,799,590.502115
359.622432,842,590.880378
361.498501,794,591.229959
319.100422,709,593.413199
381.965523,827,593.796525
391.823285,840,594.207041
368.586087,749,594.550414
308.72987,684,594.950535
285.285247,756,595.290782
352.884562,687,595.614107
318.423232,683,595.940107
310.631501,720,596.267691
339.910171,717,596.613225
315.762606,647,596.91315
332.931722,824,599.02338
368.399308,830,599.41313
352.822038,750,599.75045
277.07262,810,600.122607
350.557105,808,600.489759
273.819664,506,600.723063
361.268859,877,601.113049
256.455022,657,601.413127
366.324177,656,601.719116
306.861703,757,602.098251
294.987537,730,602.429669
282.117818,651,602.72973
379.634671,779,604.879667
354.327748,859,605.282594
361.842638,729,605.629856
310.694363,716,606.022211
360.141571,921,606.446311
317.668944,681,606.768763
389.24634,860,607.155315
278.122142,709,607.480088
298.238803,653,607.787657
386.920747,748,608.133354
431.18756,620,610.206254
322.935127,721,610.564027
432.341071,785,610.929621
369.0184,754,611.363023
353.733988,772,611.712962
287.22516,795,612.09572
285.230952,679,612.412838
364.791905,754,612.766327
360.152007,887,613.179539
324.88794,746,613.52282
342.087595,797,613.879503
347.343492,832,616.046115
294.474203,660,616.346132
290.565695,654,616.656252
364.480962,703,617.013113
298.483134,613,617.298717
282.238296,767,617.64623
301.555505,733,617.989483
362.136367,802,618.34965
360.822564,704,618.679379
371.322555,884,619.079358
265.165708,591,619.379483
314.916827,723,619.712707
286.324598,634,621.829317
302.400247,567,622.099571
359.961713,775,622.473378
394.076694,858,622.856458
377.529219,833,623.246042
346.773233,757,623.622781
324.586363,712,623.962739
243.803695,696,624.30409
454.504624,922,624.722119
279.155578,606,625.012919
327.14926,813,625.399382
368.44146,858,627.539297
365.099959,739,627.87201
322.376203,733,628.195844
437.158282,831,628.573548
308.170562,702,628.888666
260.371726,588,629.149276
391.945664,836,629.539975
403.142611,730,629.89941
340.833916,724,630.239353
375.99026,765,630.622386
314.268704,800,632.726286
292.11559,736,633.079091
332.498428,760,633.412368
304.481277,785,633.78232
270.232287,659,634.099193
292.463264,585,634.362398
360.03984,681,634.671398
340.3309,694,634.989179
425.207898,866,635.380024
231.024682,668,635.749187
307.133478,821,636.129052
322.414355,745,636.478997
261.563302,693,638.593054
289.804626,704,638.906119
426.242723,766,639.245641
373.601174,790,639.624287
340.94314,716,639.949178
242.089102,672,640.269998
301.80359,718,640.622848
364.938374,672,640.922303
336.083144,681,641.245663
311.485604,697,641.578384
257.733388,684,641.878904
262.761497,707,643.971648
323.759958,862,644.379838
282.997773,754,644.745455
258.896567,806,645.105561
427.869541,887,645.512337
425.984482,915,645.922178
366.207614,704,646.273861
320.250558,813,646.638963
336.693894,678,646.962095
403.053969,856,647.345571
300.36766,676,647.662204
279.239745,882,649.849171
309.057054,698,650.162057
356.782183,657,650.448931
308.621192,724,650.795557
306.904363,650,651.095343
336.970409,713,651.412162
264.379277,531,651.662239
440.282681,818,652.078694
278.284373,617,652.363622
399.965117,596,652.628712
300.123972,753,652.970973
312.543671,664,655.02888
468.429548,853,655.438168
321.468,744,655.775283
340.599677,881,656.206023
330.552135,788,656.61482
260.484228,644,656.89876
371.7598,639,657.199175
306.967352,698,657.528587
358.571484,699,657.845304
356.372324,855,658.270375
334.545212,799,658.628557
325.775788,677,660.766154
365.355195,754,661.11215
396.834361,827,661.510747
277.9885,785,661.880691
303.245871,567,662.148702
359.899645,821,662.528548
242.134957,674,662.828544
313.272424,786,663.195113
239.052098,696,663.511812
362.112938,713,663.861805
314.871286,785,664.238471
437.002801,880,666.395284
342.539294,704,666.728433
226.128278,640,667.012069
339.907949,728,667.34513
313.866362,913,667.763563
325.005671,690,668.110741
333.950575,748,668.445104
260.013919,742,668.786575
278.399364,782,669.128441
315.683434,832,669.511674
367.508285,875,669.911624
388.481666,702,671.994971
270.347265,716,672.320633
358.611074,667,672.623287
269.509119,566,672.878355
363.43058,756,673.22824
446.634805,943,673.644922
322.389311,683,673.961622
301.518732,676,674.301916
365.672597,661,674.59881
324.082855,709,674.911614
351.28333,816,675.311547
376.093632,792,677.44483
342.46558,655,677.748598
351.515578,741,678.078163
308.976102,753,678.44489
315.916908,789,678.81181
301.435672,739,679.144854
267.208321,728,679.49017
327.985328,839,679.861351
378.094673,800,680.244633
248.456171,684,680.544775
383.021534,772,680.995421
294.065292,681,683.102555
448.753857,869,683.494962
380.293957,791,683.844709
298.18825,740,684.269831
324.490181,697,684.686217
268.495133,758,685.044749
421.40769,838,685.437886
319.885526,618,685.733015
352.239509,721,686.070422
352.914418,747,686.411292
411.257777,762,686.844687
309.592243,678,688.927196
340.92874,806,689.311481
291.365297,723,689.637408
380.671538,838,690.04475
259.604946,637,690.337945
323.357019,863,690.727927
324.172232,804,691.097517
347.78537,856,691.495533
307.530497,859,691.886841
341.979707,792,692.253588
377.645457,775,692.630213
332.618693,702,694.721525
319.849367,750,695.07071
260.769507,797,695.437843
272.455602,741,695.786676
282.009589,780,696.13785
315.992352,741,696.477883
349.423137,876,696.894928
265.376541,603,697.177776
339.975397,682,697.488372
324.351712,796,697.867924
366.730575,949,700.077697
313.656431,846,700.471278
295.874806,685,700.794308
278.857791,750,701.144722
301.869171,743,701.477874
403.520015,853,701.877992
356.525349,815,702.280598
327.549907,780,702.637704
301.883004,796,702.987087
258.120066,661,703.29259
390.192537,857,703.67764
258.520993,728,705.761528
267.200247,801,706.127912
297.653921,704,706.44424
356.224364,669,706.744271
302.810515,682,707.094325
316.298577,660,707.387669
268.547561,675,707.719931
359.793948,946,708.160777
302.020342,643,708.477636
326.922785,758,708.86086
287.255805,742,709.220374
350.849533,673,711.244131
331.828922,794,711.627575
280.832051,700,711.986469
313.972768,705,712.294255
384.055784,891,712.746685
369.427642,763,713.111043
282.637853,795,713.461021
378.086619,822,713.84198
397.527289,651,714.127457
350.923831,758,714.470175
320.519145,793,714.839417
356.571225,765,716.978195
333.126625,596,717.268521
304.495026,666,717.569246
271.45165,870,717.960804
414.683049,705,718.310986
371.972065,751,718.670133
303.206336,708,719.00492
267.379877,734,719.337343
314.368842,722,719.687598
437.320993,690,719.993989
413.787383,922,720.410692
293.458025,756,722.494033
353.688042,819,722.870059
352.484986,810,723.24391
351.480503,821,723.637455
322.683242,743,723.986746
407.18491,780,724.361728
370.305616,889,724.743853
350.383354,742,725.186238
338.645076,727,725.527229
333.752229,754,725.870016
378.416179,798,727.997282
367.0869,871,728.394075
314.771881,680,728.737306
303.01969,740,729.060681
369.906997,688,729.377275
278.77288,697,729.732597
465.989162,740,730.077314
398.380295,801,730.443863
265.021284,642,730.746747
276.513852,694,731.070721
372.483847,853,731.44787
237.256074,538,731.693804
259.205057,709,733.86073
336.250064,804,734.217197
323.553019,659,734.527098
421.355961,788,734.960391
329.319465,851,735.387271
348.002874,705,735.737902
334.294261,749,736.098468
370.764395,908,736.523097
358.864451,820,736.894226
326.895976,653,737.193951
415.003911,726,739.699691
326.741092,732,740.073672
326.701824,783,740.449913
232.577414,635,740.77099
309.680747,771,741.168626
298.048361,632,741.482101
318.531975,730,741.8371
300.022882,698,742.160083
277.022799,732,742.492413
352.237814,758,742.851083
325.843935,807,743.226918
286.274938,672,743.530493
334.475228,695,745.64349
402.603225,867,746.026843
313.765554,742,746.386902
322.171819,796,746.746977
304.750298,768,747.137818
331.40333,730,747.476786
361.300467,668,747.776757
418.102351,812,748.177634
340.901721,662,748.494976
336.759174,822,748.895983
387.881218,845,751.260744
276.938077,624,751.590766
342.777962,744,751.928431
389.159321,635,752.2456
321.33098,744,752.593331
338.316261,850,752.97654
378.260183,860,753.376497
342.139802,811,753.762451
265.399076,754,754.165206
313.914268,790,754.562925
308.575417,744,754.927341
370.435841,811,757.326523
295.317036,698,757.682791
365.344114,871,758.14669
270.499199,727,758.526566
302.746772,703,758.902794
327.239518,800,759.312156
349.785365,938,759.803249
374.071171,864,760.400293
277.248485,657,760.78433
334.654662,787,761.248704
440.373593,656,761.613787
369.391733,883,764.135157
345.349872,812,764.536647
341.300331,745,764.881265
376.658062,708,765.250298
343.151344,789,765.636883
426.234908,876,766.085109
328.846835,713,766.410034
336.333757,735,766.744298
377.167594,748,767.158853
317.869995,687,767.660999
341.730947,778,769.947187
258.442945,614,770.26185
319.491134,767,770.634423
344.282875,731,770.973906
421.533553,795,771.364287
253.189773,622,771.66457
332.137321,714,772.010523
255.804124,665,772.321436
361.228735,978,772.78157
352.054688,764,773.137485
286.035008,661,773.445956
323.052123,740,773.809572
326.41875,829,776.477439
369.927343,824,777.093524
311.441211,742,777.477849
340.67865,894,777.938435
363.583781,657,778.246011
394.798613,774,778.602103
390.038895,889,779.013488
306.783966,599,779.291527
379.381702,932,779.718021
339.342822,770,780.081596
317.977137,832,782.694662
321.941562,803,783.060251
363.869536,730,783.395898
278.95966,726,783.734493
341.11328,693,784.059084
346.000947,740,784.708254
394.370475,771,785.116513
449.311196,776,785.504797
332.094249,825,785.928057
273.019113,691,786.266313
306.351735,782,786.626135
343.941436,731,788.747074
342.256608,730,789.078978
342.422014,813,789.473968
303.209313,615,789.76349
372.974723,816,790.167039
365.08083,773,790.531481
250.171089,703,790.85904
338.968527,709,791.191127
310.581467,715,791.533084
283.691352,629,791.827817
345.004615,807,792.202297
296.407745,662,794.378981
408.611885,851,794.773585
301.714055,731,795.108247
374.073371,810,795.483754
328.677864,617,795.788529
332.641373,651,796.093127
288.409676,643,796.391012
297.032293,735,796.738356
294.142467,621,797.02901
330.924138,763,797.380838
360.268608,821,797.761005
314.39429,841,800.005239
300.489001,524,800.257666
323.585689,817,800.638485
282.814821,832,801.0318
311.770239,650,801.335353
276.555144,718,801.671752
305.801533,843,802.057832
369.71753,799,802.442112
284.728887,569,802.707289
233.071486,665,803.013093
352.123116,745,803.365066
322.228716,719,803.698077
307.340871,768,805.900386
349.345036,733,806.231227
445.82232,867,806.645288
280.802264,645,806.938289
270.675089,607,807.217124
354.90044,622,807.509937
365.986899,777,807.870004
298.682151,742,808.244182
350.580464,660,808.549076
331.372152,758,808.918461
313.872843,695,809.239173
289.937244,587,811.277131
303.351618,516,811.522359
330.176764,734,811.852105
325.306891,660,812.176122
301.950766,757,812.520452
322.969923,727,812.861688
391.476822,746,813.219005
323.372979,656,813.524176
251.757419,651,813.831476
303.642485,688,814.146964
288.888755,737,814.518935
266.716302,537,814.772981
297.131257,705,816.876317
292.813296,631,817.194932
387.01552,749,817.531452
340.929656,786,817.90092
334.049744,613,818.206639
283.634669,613,818.496933
318.391887,688,818.813802
383.402885,761,819.166049
345.325223,749,819.528009
354.380963,781,819.88805
330.831679,812,820.261007
328.139506,636,820.562969
307.396667,828,822.759406
263.405259,649,823.050206
293.880482,675,823.359334
321.558674,781,823.737338
349.133683,750,824.086904
322.003554,640,824.392336
360.752776,780,824.754345
373.401537,848,825.149032
374.310229,759,825.500863
353.039892,750,825.846564
289.324995,697,826.185804
345.438912,712,828.325963
311.031224,812,828.69904
274.350809,595,828.977101
386.025011,718,829.317453
233.30929,569,829.582259
372.987163,764,829.932806
325.698117,699,830.272446
311.429685,677,830.594439
329.530692,798,830.991023
295.203359,685,831.309459
334.934323,838,831.699258
315.543414,716,833.80026
308.961356,873,834.259225
349.485898,793,834.626211
285.239768,630,834.913313
298.477372,652,835.213444
381.005483,744,835.5568
279.856122,678,835.868182
342.595559,764,836.214875
313.698991,817,836.603926
306.389359,722,836.936703
261.263181,633,837.23737
353.215959,781,837.60113
334.368923,726,839.787264
264.389081,526,840.023942
314.433187,716,840.352099
402.650658,781,840.725219
354.778647,684,841.039009
332.459643,728,841.375974
355.898313,793,841.741047
428.800559,788,842.098103
387.455333,853,842.487902
353.89993,621,842.774864
368.88501,651,843.083141
316.525446,550,845.125824
329.587541,760,845.486887
333.690409,716,845.815867
415.97152,911,846.232231
402.603433,730,846.568926
353.479956,660,846.872425
346.798289,837,847.333931
333.043012,775,847.712358
245.638512,734,848.053383
370.640428,736,848.393265
330.924187,740,848.73889
304.664591,524,850.772988
339.987572,760,851.138198
344.92302,749,851.504351
381.878881,649,851.837347
300.917531,630,852.132315
390.525651,728,852.683904
348.596395,881,853.216856
394.552268,871,853.622487
280.225133,622,853.921433
296.808961,670,854.253604
391.480653,719,854.610569
359.339212,804,854.982131
305.725068,635,857.103376
347.004311,868,857.510682
257.728219,635,857.814775
329.324864,744,858.159075
357.421775,864,858.577137
244.089293,702,858.9229
313.446228,685,859.244729
326.322004,743,859.587967
255.648058,639,859.886245
300.859351,657,860.189903
336.32867,728,860.528706
395.28137,899,862.739191
246.436201,670,863.042977
315.397199,710,863.405825
324.425356,759,863.763604
262.949742,599,864.038956
311.794789,724,864.374109
377.567378,755,864.727728
379.260828,794,865.106954
322.908939,652,865.406896
353.968718,633,865.71076
400.42061,738,866.054233
343.056435,717,868.154678
291.218211,638,868.460952
314.89604,793,868.824446
306.261309,675,869.14589
314.892129,675,869.448121
345.684655,601,869.727744
401.718871,724,870.06112
322.979625,659,870.363803
292.499539,666,870.700005
324.345948,677,871.009959
353.126173,727,871.371556
329.536882,763,871.73295
267.286665,681,873.835412
399.659355,828,874.227939
390.322049,796,874.600063
309.510032,677,874.916416
346.117695,663,875.221007
351.794498,873,875.642241
345.315327,763,875.99076
313.726539,729,876.325722
353.535906,769,876.750659
354.353088,858,877.167346
276.054744,765,877.507416
335.720404,689,879.607233
282.645421,740,879.942689
278.618205,559,880.207549
318.732205,785,880.617326
365.928807,867,881.127478
402.83786,757,881.504504
275.333693,716,881.842684
392.248955,648,882.151249
296.325467,683,882.485269
337.325114,646,882.804761
363.198507,659,883.126112
400.222153,633,883.407211
326.175531,648,885.555345
300.404168,585,885.80734
405.251889,702,886.157266
346.213877,709,886.488847
251.808733,605,886.77383
335.446197,690,887.100858
360.172975,741,887.42396
317.778048,723,887.773978
389.161428,775,888.16308
279.027237,641,888.449937
333.06245,807,888.851893
304.465392,698,890.923657
277.634076,582,891.207682
301.507609,827,891.594287
284.18184,597,891.867237
306.75287,772,892.217141
307.013343,748,892.55045
371.302942,728,892.909245
408.537742,833,893.273665
300.589823,703,893.624395
368.648208,721,893.957074
247.970906,633,894.244019
406.891188,790,894.607114
338.832095,679,896.699214
297.432751,805,897.081206
296.807709,657,897.407144
382.313885,852,897.790348
347.815922,765,898.140273
320.939045,601,898.406927
377.058938,653,898.723572
391.82604,602,899.007061
296.537393,692,899.343725
319.427854,694,899.656942
359.926235,688,899.956864
346.608221,772,902.073421
212.114732,664,902.390141
306.829797,690,902.716877
303.030559,763,903.056822
408.523244,756,903.407488
273.461946,786,903.773414
464.533533,783,904.154033
372.505396,723,904.475913
289.244303,794,904.842594
340.961816,670,905.154047
339.983076,751,905.483009
348.325317,835,907.694532
262.73704,752,908.056895
390.351326,846,908.467187
356.667286,727,908.810718
310.835836,790,909.189622
346.30765,689,909.526233
389.536542,758,909.915195
357.967222,679,910.234078
335.619678,750,910.617944
393.027009,759,910.973744
241.210631,616,911.291467
306.538381,766,914.073393
338.767914,739,914.441966
413.837227,664,914.75855
300.577406,874,915.167203
323.694429,768,915.506867
301.637864,726,915.843047
346.834548,765,916.209159
330.415676,709,916.543108
283.079531,759,916.90043
396.795323,707,917.240004
307.772294,660,917.539228
343.097908,737,917.889923
426.607558,775,920.106777
328.479112,790,920.473247
322.458839,733,920.806658
320.397474,680,921.134936
313.426051,788,921.490728
276.835586,732,921.842889
394.690247,632,922.139955
336.553495,734,922.473499
351.180639,708,922.806569
272.897716,805,923.173191
290.869297,658,923.480085
294.352809,502,925.506619
334.826164,666,925.806788
361.239467,709,926.133071
404.525935,795,926.506548
294.566932,766,926.849756
346.404757,738,927.182634
292.995563,651,927.48979
300.782735,658,927.806377
297.715385,720,928.142832
428.551224,882,928.552441
304.627109,771,928.923092
301.760038,721,930.999635
251.568123,784,931.356384
387.388467,693,931.712877
358.66587,850,932.098945
288.035542,608,932.385314
318.280714,754,932.756864
355.92644,657,933.042592
292.08088,666,933.342634
357.953304,816,933.723043
384.423371,737,934.073005
289.10296,614,934.356264
286.960981,701,934.689626
288.805898,722,936.806531
391.001748,814,937.189709
290.836303,742,937.522907
264.387943,761,937.892521
300.650119,669,938.20622
291.253256,708,938.522861
300.586496,646,938.816227
315.126147,680,939.122814
262.582368,693,939.456949
257.961357,795,939.850033
386.639848,724,940.172865
345.979454,773,942.342003
398.478884,872,942.739503
340.349913,783,943.092576
311.417007,718,943.422792
387.553751,840,943.82275
254.514377,728,944.14297
292.024449,686,944.499705
359.763419,613,944.80636
289.017184,693,945.116566
323.37635,757,945.455943
289.236192,716,945.781738
255.747705,719,948.095753
285.643131,704,948.502376
292.235491,708,948.864404
324.140472,803,949.273729
317.16839,715,949.62531
405.165755,882,950.043521
307.95878,632,950.351132
261.837132,784,950.705986
314.379427,689,951.033066
312.886601,783,951.402096
338.02805,872,951.792141
401.922384,833,953.99925
326.841283,677,954.305862
321.484723,812,954.692071
313.106995,795,955.072607
242.695864,637,955.395776
303.258436,743,955.773661
354.571741,780,956.139203
391.970318,851,956.541918
331.425713,806,956.905689
282.122589,666,957.239432
277.300935,587,957.506405
286.465184,777,959.806612
357.815655,720,960.139028
324.816673,780,960.490537
345.370342,748,960.872764
308.050839,621,961.173234
327.47257,593,961.452189
365.215115,874,961.855588
344.450201,724,962.201869
286.996316,730,962.535497
311.151112,632,962.822724
327.584668,897,963.247378
371.26213,748,965.428374
396.827969,781,965.781575
287.118194,622,966.055601
277.174834,695,966.476927
267.759313,734,966.806219
408.386902,816,967.188878
324.421351,780,967.542707
355.174824,812,967.932324
339.818151,768,968.282342
284.631855,709,968.591641
366.643114,702,968.967199
