#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
249.651586,896,105.306328
280.673276,906,105.716522
344.561773,866,106.139692
409.369218,869,106.543149
326.481473,919,106.97021
303.393381,754,107.339622
292.321229,738,107.666294
283.400611,737,107.989573
247.722359,850,108.382461
337.710652,979,108.832426
418.190725,1095,111.106466
380.472803,776,111.456288
355.233081,980,111.906138
306.719713,831,112.281081
371.987206,909,112.72868
226.588648,710,113.042959
309.84373,872,113.442174
311.044508,870,113.83997
280.838874,780,114.19048
338.437524,848,116.341891
268.506546,709,116.673396
344.541378,825,117.065424
320.652048,827,117.439562
354.83671,948,117.872713
349.908153,942,118.293217
275.87465,829,118.68322
288.199138,922,119.120246
356.815584,924,119.522704
280.600993,830,119.930036
359.838829,962,122.172667
370.443142,957,122.607566
316.496263,826,122.998852
302.594365,745,123.407251
311.022011,877,123.797817
292.831897,880,124.215132
301.742131,809,124.572632
313.160007,860,124.955938
274.536214,863,125.341743
366.895997,918,127.539184
295.871905,886,127.939193
410.897563,963,128.366079
309.948831,739,128.702168
383.130317,865,129.091713
244.909854,853,129.48801
353.716892,880,129.905789
313.226375,895,130.3306
323.438877,669,130.639274
290.739128,772,130.991614
280.273572,797,133.106161
376.335762,775,133.45667
332.972011,823,133.842062
289.581977,679,134.15586
358.543985,799,134.541274
378.848432,897,134.941584
357.442854,713,135.267281
346.994312,768,135.623075
300.82795,932,136.081922
262.204206,838,136.489166
325.832353,879,138.691495
394.084007,666,138.988936
309.697541,767,139.323901
329.367872,625,139.625979
273.845464,820,140.005679
254.502146,757,140.405967
255.293988,740,140.743052
316.199888,667,141.072324
314.892278,804,141.444465
305.760155,698,141.758101
265.582176,723,142.08258
342.832858,735,144.373878
371.669755,893,144.784187
299.167649,791,145.172565
373.011291,973,145.616082
371.611155,854,146.005531
366.983016,821,146.372244
422.54213,1032,146.889125
383.943061,767,147.252031
321.070573,829,147.632374
299.771885,798,148.015502
315.688164,800,150.205776
359.467657,932,150.632237
357.375746,815,151.022091
355.794138,876,151.422272
386.990946,887,151.832111
338.685569,706,152.155433
349.111753,838,152.532745
282.312677,730,152.865655
328.924691,835,153.25868
317.446274,875,153.649297
286.528566,818,155.888823
313.762982,710,156.192007
286.648775,702,156.520945
356.021206,913,156.942678
399.395649,813,157.335623
404.470768,861,157.741121
287.675245,735,158.071957
220.967856,800,158.43151
407.739822,981,158.872031
344.729096,815,159.257026
330.107849,823,161.358574
278.612129,772,161.705437
339.876769,822,162.091655
354.375797,755,162.455201
349.663414,890,162.882386
334.007792,836,163.261807
441.356715,845,163.657517
334.674426,837,164.071846
325.187091,822,164.441231
245.414958,797,164.80523
